ID,Country,health_sys_id,Health system name,Health system city,Health system State,Health system StateName,Total N of physicians,Total N of nurse practitioners,Total N of physician assistants,Total N of outpatient centers,Total N of hospitals,Total N of system-affiliated nursing homes,Multistate system flag0,Multistate system flag,N of beds per system,N of discharges per system,Degree to which health systems serves children0,Degree to which health systems serves children,Systemwide teaching intensity0,Systemwide teaching intensity,System MA plan enrollment,System ownership type0,System ownership type,Hospital Net Revenue,Hospital Total Revenue,in_onekey,in_aha,onekey_id,aha_sysid,prim_care_mds,acutehosp_cnt,sys_res,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ma_plan_contracts
36,US,HSI00000711,Mount Sinai Health System,New York,NY,New York,5393,857,752,373,5,0,1,system hospitals located in one state,2452,122475,0,no children’s hospitals,2,major teaching,0,1,nonprofit,5858209413,24602264642,1,1,17773490,0917,1265,4,1870.64,1,1,1,0,0,1,1,1,1,
37,US,HSI00000826,Piedmont Healthcare,Atlanta,GA,Georgia,1985,778,600,341,19,3,1,system hospitals located in one state,3257,173366,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,4988970455,23861509341,1,1,18080844,0310,703,18,185.27,1,0,1,0,1,0,0,0,0,
38,US,HSI00000845,Prime Healthcare Services,Ontario,CA,California,1500,519,312,207,45,2,3,system hospitals located in 3 or more states,6473,211231,0,no children’s hospitals,1,minor teaching,0,5,for-profit/investor owned,5128976930,23806487918,1,1,17844310,0357,445,43,450.66,1,0,1,1,1,0,0,0,0,
39,US,HSI00000631,Mayo Clinic Health System,Rochester,MN,Minnesota,7792,1541,889,198,26,2,3,system hospitals located in 3 or more states,2758,121818,0,no children’s hospitals,2,major teaching,0,1,nonprofit,9822026506,23779986413,1,1,18956750,1875,2032,25,1016.46,1,0,0,0,1,0,0,0,0,
40,US,HSI00000700,Montefiore Medical Center,Bronx,NY,New York,2964,518,674,270,8,2,1,system hospitals located in one state,2308,119399,0,no children’s hospitals,2,major teaching,0,1,nonprofit,4648052058,23600552694,1,1,18956751,0343,940,7,1312.99,1,1,1,1,1,1,1,1,1,
41,US,HSI00000011,Adventist Health,Roseville,CA,California,1652,482,377,369,26,5,3,system hospitals located in 3 or more states,2786,122381,0,no children’s hospitals,1,minor teaching,0,2,church-operated,4675853698,23349300396,1,1,17773620,0235,599,24,123.63,1,0,1,0,1,1,1,1,1,
42,US,HSI00000046,Ardent Health Services,Nashville,TN,Tennessee,919,511,183,161,31,1,3,system hospitals located in 3 or more states,2762,129393,0,no children’s hospitals,1,minor teaching,0,5,for-profit/investor owned,3890462893,22796487977,1,1,17847721,0069,312,26,210.14,1,0,1,0,1,1,1,0,1,
43,US,HSI00001156,University Hospitals,Shaker Heights,OH,Ohio,2649,875,331,558,17,1,1,system hospitals located in one state,2588,116958,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,2,major teaching,0,1,nonprofit,6829265234,22576363523,1,1,17773675,0112,873,16,861.5,1,1,0,0,1,0,0,0,0,
44,US,HSI00000766,Northside Hospital,Atlanta,GA,Georgia,1262,388,418,339,5,1,1,system hospitals located in one state,1810,92092,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,5155860725,22211079113,1,1,18162439,0410,371,5,68.08,0,0,0,0,1,,,,,
45,US,HSI00000510,Indiana University Health,Indianapolis,IN,Indiana,3455,1092,294,386,14,0,1,system hospitals located in one state,2483,107516,0,no children’s hospitals,2,major teaching,14442,1,nonprofit,6072765203,22165834387,1,1,17774087,0231,1059,13,817.4,1,0,1,0,1,1,1,0,0,H7220
46,US,HSI00000902,SSM Health,Saint Louis,MO,Missouri,3822,1084,508,461,43,8,3,system hospitals located in 3 or more states,4105,176868,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,0,2,church-operated,5874308882,21574610728,1,1,17773664,5455,1388,39,581.77,1,1,1,0,1,1,1,1,1,
47,US,HSI00000439,Hackensack Meridian Health,Edison,NJ,New Jersey,2114,667,281,315,13,13,1,system hospitals located in one state,3099,151883,0,no children’s hospitals,1,minor teaching,27871,1,nonprofit,5574894329,21012865264,1,1,17774094,1003,639,10,653.47,1,0,1,0,1,1,1,0,1,H0885; H4675
48,US,HSI00000388,Geisinger,Danville,PA,Pennsylvania,2008,400,741,195,9,0,1,system hospitals located in one state,1296,74152,0,no children’s hospitals,2,major teaching,96659,1,nonprofit,2895174675,20923514087,1,1,17816853,5570,646,9,540.09,1,1,0,0,0,1,1,1,1,H2064; H3924; H3954; H9412
49,US,HSI00000660,Mercy,Chesterfield,MO,Missouri,3348,1452,422,796,38,0,3,system hospitals located in 3 or more states,4453,194057,0,no children’s hospitals,1,minor teaching,0,2,church-operated,6330240493,20780076496,1,1,17774100,5185,1258,32,130.8,0,0,0,0,1,0,0,0,0,
50,US,HSI00000080,Baptist Healthcare System,Louisville,KY,Kentucky,1205,739,228,326,10,1,2,system hospitals located in two states,1980,98776,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,3321123565,20554413417,1,1,17773623,0315,403,10,19.77,0,0,1,0,0,0,0,0,0,
51,US,HSI00000048,Jefferson Health,Philadelphia,PA,Pennsylvania,4147,868,459,451,9,4,2,system hospitals located in two states,3181,150371,0,no children’s hospitals,2,major teaching,13272,1,nonprofit,5011820164,20174816799,1,1,17773319,7775,1268,8,1604.71,1,1,1,0,0,1,1,1,0,H9207
52,US,HSI00000077,Baptist Health South Florida,Coral Gables,FL,Florida,1304,864,253,185,9,0,1,system hospitals located in one state,2530,98171,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,4342159039,19508186136,1,1,17773783,0122,372,9,136,0,0,1,1,1,1,1,0,0,
53,US,HSI00000070,BJC Healthcare,Saint Louis,MO,Missouri,4470,1143,204,343,16,3,2,system hospitals located in two states,3166,135097,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,2,major teaching,0,1,nonprofit,5642640305,18496661281,1,1,17773625,0051,1221,14,1049.68,1,1,0,0,1,0,0,0,0,
54,US,HSI00000773,Novant Health,Winston Salem,NC,North Carolina,2323,982,832,605,13,2,1,system hospitals located in one state,2888,127327,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,5353333509,18301402787,1,1,17773653,0139,942,12,111.54,0,0,0,0,1,1,1,0,0,
55,US,HSI00001222,Vanderbilt Health,Nashville,TN,Tennessee,2508,1039,121,211,4,0,1,system hospitals located in one state,1298,69240,0,no children’s hospitals,2,major teaching,0,1,nonprofit,5268969303,18286599532,1,1,17773682,0387,522,4,742.99,1,1,0,0,1,0,0,0,0,
56,US,HSI00001123,UNC Health Care System,Chapel Hill,NC,North Carolina,3863,845,558,465,13,3,1,system hospitals located in one state,3185,135888,0,no children’s hospitals,2,major teaching,0,3,public/government,6124668438,17981820585,1,1,17774131,0901,1022,13,892.85,1,1,1,0,0,1,1,0,1,
57,US,HSI00001244,WellStar Health System,Marietta,GA,Georgia,1452,319,262,314,10,3,1,system hospitals located in one state,2319,102472,0,no children’s hospitals,1,minor teaching,0,3,public/government,3572838003,17918156173,1,1,17778037,0995,534,9,218.2,0,0,1,1,1,1,0,0,0,
58,US,HSI00001037,Steward Health Care System,Dallas,TX,Texas,2902,888,554,464,40,0,3,system hospitals located in 3 or more states,4143,154975,0,no children’s hospitals,1,minor teaching,0,5,for-profit/investor owned,4229145811,17600672038,1,1,17773629,0141,942,35,386.47,1,0,1,0,1,0,0,0,0,
59,US,HSI00001272,Yale New Haven Health System,New Haven,CT,Connecticut,3662,766,574,382,7,1,2,system hospitals located in two states,2192,99548,0,no children’s hospitals,2,major teaching,0,1,nonprofit,5224144055,17564358362,1,1,17774138,0157,979,7,1060.09,1,1,0,0,0,0,0,0,0,
60,US,HSI00000730,New York City Health and Hospitals Corporation,New York,NY,New York,2813,775,832,75,12,4,1,system hospitals located in one state,3161,135385,0,no children’s hospitals,2,major teaching,9816,3,public/government,7932196160,17012448563,1,1,17774105,3075,1063,11,2462.55,1,1,1,1,1,1,1,1,1,H0423
61,US,HSI00000780,Ochsner Health System,New Orleans,LA,Louisiana,3397,1054,466,346,35,0,3,system hospitals located in 3 or more states,3295,120037,0,no children’s hospitals,2,major teaching,2136,1,nonprofit,4637414944,16878064368,1,1,17773459,0359,1037,30,865.36,1,1,1,0,0,1,1,0,0,H9763
62,US,HSI00000756,NorthShore – Edward-Elmhurst Health,Evanston,IL,Illinois,2300,583,339,353,8,0,1,system hospitals located in one state,1397,92251,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,3911932537,16623210991,1,1,17773309,0470,802,7,272.11,1,0,0,0,0,1,0,0,1,
63,US,HSI00000936,Saint Lukes University Health Network,Bethlehem,PA,Pennsylvania,1446,373,471,346,11,3,2,system hospitals located in two states,1208,71989,0,no children’s hospitals,2,major teaching,0,1,nonprofit,2336464162,16550992087,1,1,17773829,0862,551,11,352.8,1,0,0,0,0,0,0,0,0,
64,US,HSI00001072,Texas Health Resources,Arlington,TX,Texas,1764,664,405,331,21,2,1,system hospitals located in one state,3015,170128,0,no children’s hospitals,1,minor teaching,12683,1,nonprofit,4583377670,16191547719,1,1,17773668,0129,609,18,49.75,0,0,1,1,1,1,1,0,0,H2171; H6328
65,US,HSI00000577,Lehigh Valley Health Network,Allentown,PA,Pennsylvania,1702,505,536,395,10,1,1,system hospitals located in one state,1672,71791,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,3112331966,15957841580,1,1,17847553,0370,614,8,302.27,1,0,0,0,0,1,1,0,1,
66,US,HSI00000972,Sentara Healthcare,Norfolk,VA,Virginia,1446,519,358,304,13,0,2,system hospitals located in two states,2314,122853,0,no children’s hospitals,1,minor teaching,26885,1,nonprofit,4779123294,15841087539,1,1,17773497,2565,509,12,205.47,1,0,0,0,0,1,1,1,1,H2563; H2941; H9877
67,US,HSI00000060,Atlantic Health System,Morristown,NJ,New Jersey,1348,426,173,309,6,0,1,system hospitals located in one state,1597,82734,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,3141766126,15811307181,1,1,17773460,0865,467,5,289.7,1,0,0,0,0,0,0,0,0,
68,US,HSI00000653,Memorial Healthcare System,Hollywood,FL,Florida,903,523,108,105,5,2,1,system hospitals located in one state,1617,69401,0,no children’s hospitals,1,minor teaching,4485,3,public/government,2522801239,15604088116,1,1,17773808,0083,234,5,154.04,0,0,1,0,1,1,1,1,1,H5126; H7322; H8961
69,US,HSI00000977,Sharp Healthcare,San Diego,CA,California,1670,238,125,197,6,3,1,system hospitals located in one state,1688,77793,0,no children’s hospitals,0,nonteaching,10808,1,nonprofit,2889486264,15035817972,1,1,17773661,2065,626,5,0,0,0,1,0,0,1,1,0,1,H5386
70,US,HSI00000860,Quorum Health Corporation,Brentwood,TN,Tennessee,1675,879,311,356,74,6,3,system hospitals located in 3 or more states,3339,95719,0,no children’s hospitals,1,minor teaching,0,3,public/government,3969827766,14257008742,1,1,19733092,0981,648,74,34.18,0,0,1,0,1,0,0,0,0,
71,US,HSI00000784,Ohiohealth,Columbus,OH,Ohio,2079,898,357,452,13,2,1,system hospitals located in one state,2271,103256,0,no children’s hospitals,1,minor teaching,0,2,church-operated,4449753188,14245717117,1,1,17773817,0162,794,13,360.04,1,0,1,1,1,0,0,0,0,
72,US,HSI00001378,Prisma Health,Greenville,SC,South Carolina,2646,793,306,336,12,3,1,system hospitals located in one state,2175,105541,0,no children’s hospitals,2,major teaching,382,1,nonprofit,3754081374,14153242874,1,1,17773798,4155,959,10,581.36,1,0,1,1,1,0,0,0,0,H4053; H4203
73,US,HSI00000491,HonorHealth,Scottsdale,AZ,Arizona,671,286,118,131,7,0,1,system hospitals located in one state,1416,64657,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,2300744959,14026453572,1,1,17773968,0963,267,6,65.79,0,0,0,1,1,0,0,0,0,
74,US,HSI00001146,Unitypoint Health,West Des Moines,IA,Iowa,1866,1142,369,395,33,5,3,system hospitals located in 3 or more states,2761,122985,0,no children’s hospitals,1,minor teaching,38845,1,nonprofit,4214371099,13886519559,1,1,17773949,0061,811,33,206.87,0,0,0,0,0,1,1,1,1,H3416; H5262; H8424; H9834
75,US,HSI00000968,Scripps Health,San Diego,CA,California,1435,277,178,131,5,0,1,system hospitals located in one state,1173,70318,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,2487141942,13783207862,1,1,17773825,1505,593,5,166.02,1,0,1,0,1,1,,0,,
76,US,HSI00001252,WMC Health,Valhalla,NY,New York,1031,233,172,97,8,3,1,system hospitals located in one state,1266,50404,0,no children’s hospitals,2,major teaching,0,3,public/government,2299617844,13728211082,1,1,17773985,1004,212,7,402.4,1,0,1,1,1,0,,,,
77,US,HSI00001065,Temple University Health System,Philadelphia,PA,Pennsylvania,1155,202,145,99,3,0,1,system hospitals located in one state,761,34573,0,no children’s hospitals,2,major teaching,0,1,nonprofit,1919063551,13438626945,1,1,17774120,0169,308,2,550.48,1,1,1,0,0,1,,,,
78,US,HSI00000081,Baptist Memorial Health Care Corporation,Memphis,TN,Tennessee,1130,542,82,192,21,1,3,system hospitals located in 3 or more states,2398,108367,0,no children’s hospitals,1,minor teaching,0,2,church-operated,2722248070,13242513869,1,1,17773784,1625,440,19,161.68,0,0,0,0,1,1,1,1,1,
79,US,HSI00000323,Duke University Health System,Durham,NC,North Carolina,3430,728,597,312,3,0,1,system hospitals located in one state,1535,64381,0,no children’s hospitals,2,major teaching,3934,1,nonprofit,3875811811,13039748726,1,1,17773795,0190,937,3,772.44,1,1,0,0,0,1,1,0,0,H3777
80,US,HSI00001177,University of Michigan Health System,Ann Arbor,MI,Michigan,3824,689,503,160,2,0,1,system hospitals located in one state,1141,54815,0,no children’s hospitals,2,major teaching,0,3,public/government,4746885567,12942692317,1,0,17773977,,1112,2,1097.42,1,1,0,0,0,0,0,0,0,
81,US,HSI00001121,UF Health,Gainesville,FL,Florida,3047,725,360,211,4,0,1,system hospitals located in one state,2051,96790,0,no children’s hospitals,2,major teaching,0,1,nonprofit,3219854475,12866098547,1,1,17773660,0111,734,4,1019.84,1,1,1,0,0,0,0,0,0,
82,US,HSI00001173,The University of Kansas Health System,Kansas City,KS,Kansas,2522,408,135,118,3,0,1,system hospitals located in one state,1197,51324,0,no children’s hospitals,2,major teaching,0,3,public/government,2663703316,12547895431,1,1,17773345,1040,764,3,435.55,1,0,0,0,0,0,0,0,0,
83,US,HSI00000025,Allegheny Health Network,Pittsburgh,PA,Pennsylvania,1824,492,592,439,11,0,2,system hospitals located in two states,1975,73646,0,no children’s hospitals,2,major teaching,377126,1,nonprofit,2842110852,12489349729,1,1,17773987,0199,549,11,595.37,1,1,0,0,1,0,0,0,0,H3384; H3916; H3957; H5106; H5526; H5932; H8166
84,US,HSI00001233,Virtua Health,Marlton,NJ,New Jersey,977,328,123,192,5,0,1,system hospitals located in one state,1338,62275,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,1889100630,12434163918,1,1,17773527,6725,290,5,89.5,0,0,0,0,0,0,0,0,0,
85,US,HSI00001089,The University of Chicago Medicine,Chicago,IL,Illinois,1437,380,139,87,2,0,1,system hospitals located in one state,921,39557,0,no children’s hospitals,2,major teaching,0,1,nonprofit,2499718568,12412992152,1,1,17774126,0058,364,2,675.8,1,1,1,0,1,1,1,0,0,
86,US,HSI00000357,Fairview Health Services,Minneapolis,MN,Minnesota,3178,651,397,220,12,4,2,system hospitals located in two states,1623,81612,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,140094,2,church-operated,3839113250,12338249351,1,1,18956745,1325,1072,11,399.48,1,0,1,0,0,0,0,0,0,H0422; H2456; H2459; H5937; H8783
